Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-18 00:00:00-05:00,10.710000038146973,10.9399995803833,9.819999694824219,10.8100004196167,693600,0.0,0.0
2019-11-19 00:00:00-05:00,10.850000381469727,11.850000381469727,10.651000022888184,11.510000228881836,655200,0.0,0.0
2019-11-20 00:00:00-05:00,11.65999984741211,12.479999542236328,11.642000198364258,12.40999984741211,653400,0.0,0.0
2019-11-21 00:00:00-05:00,12.539999961853027,13.100000381469727,12.109999656677246,12.15999984741211,426400,0.0,0.0
2019-11-22 00:00:00-05:00,12.319999694824219,12.489999771118164,11.800000190734863,12.130000114440918,381800,0.0,0.0
2019-11-25 00:00:00-05:00,12.170000076293945,12.449999809265137,11.510000228881836,11.880000114440918,204500,0.0,0.0
2019-11-26 00:00:00-05:00,11.90999984741211,12.399999618530273,11.770000457763672,11.770000457763672,270400,0.0,0.0
2019-11-27 00:00:00-05:00,11.75,11.911999702453613,11.279999732971191,11.34000015258789,346400,0.0,0.0
2019-11-29 00:00:00-05:00,11.350000381469727,11.430000305175781,11.109999656677246,11.399999618530273,104500,0.0,0.0
2019-12-02 00:00:00-05:00,11.479999542236328,11.944999694824219,10.970000267028809,11.550000190734863,279300,0.0,0.0
2019-12-03 00:00:00-05:00,11.470000267028809,11.640000343322754,11.010000228881836,11.1899995803833,262500,0.0,0.0
2019-12-04 00:00:00-05:00,11.239999771118164,12.199999809265137,11.239999771118164,11.859999656677246,295700,0.0,0.0
2019-12-05 00:00:00-05:00,11.90999984741211,12.350000381469727,11.395000457763672,11.600000381469727,320900,0.0,0.0
2019-12-06 00:00:00-05:00,11.619999885559082,12.199999809265137,11.609999656677246,11.829999923706055,265900,0.0,0.0
2019-12-09 00:00:00-05:00,11.6899995803833,11.779999732971191,11.109999656677246,11.420000076293945,244400,0.0,0.0
2019-12-10 00:00:00-05:00,11.329999923706055,12.020000457763672,11.329999923706055,11.760000228881836,183400,0.0,0.0
2019-12-11 00:00:00-05:00,11.770000457763672,12.34000015258789,11.699999809265137,12.270000457763672,216500,0.0,0.0
2019-12-12 00:00:00-05:00,12.270000457763672,13.930000305175781,12.265999794006348,13.640000343322754,466400,0.0,0.0
2019-12-13 00:00:00-05:00,13.59000015258789,14.281000137329102,13.095999717712402,13.569999694824219,316700,0.0,0.0
2019-12-16 00:00:00-05:00,13.670000076293945,13.75,13.170000076293945,13.460000038146973,180900,0.0,0.0
2019-12-17 00:00:00-05:00,13.350000381469727,13.529999732971191,12.710000038146973,13.079999923706055,174100,0.0,0.0
2019-12-18 00:00:00-05:00,13.069999694824219,13.619999885559082,12.880000114440918,13.25,216400,0.0,0.0
2019-12-19 00:00:00-05:00,13.239999771118164,13.859000205993652,12.970000267028809,13.619999885559082,214200,0.0,0.0
